"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"Unknown Serogroup",2016,16,3,57,"2016-04-17"
"Other Serogroup",2016,2,0,0,"2016-01-10"
"Unknown Serogroup",2016,3,0,6,"2016-01-17"
"ACWY Serogroups",2016,26,1,53,"2016-06-26"
"Serogroup B",2016,33,1,47,"2016-08-14"
"Unknown Serogroup",2016,22,3,81,"2016-05-29"
"Serogroup B",2016,15,0,20,"2016-04-10"
"Serogroup B",2016,41,0,53,"2016-10-09"
"Serogroup B",2016,12,0,12,"2016-03-20"
"Other Serogroup",2016,8,0,0,"2016-02-21"
"ACWY Serogroups",2016,20,1,39,"2016-05-15"
"Other Serogroup",2016,31,1,10,"2016-07-31"
"Serogroup B",2016,8,2,8,"2016-02-21"
"ACWY Serogroups",2016,35,0,60,"2016-08-28"
"ACWY Serogroups",2016,2,0,0,"2016-01-10"
"ACWY Serogroups",2016,15,1,27,"2016-04-10"
